,track_name,track_id,track_number,popularity,artists,album_id,release_date,explicit,track_label,count
0,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,3,88,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY'}, 'href': 'https://api.spotify.com/v1/artists/0Y5tJX1MQlPlqiwlOH1tJY', 'id': '0Y5tJX1MQlPlqiwlOH1tJY', 'name': 'Travis Scott', 'type': 'artist', 'uri': 'spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY'}]",41GuZcammIkupMPKH2OJ6I,2018-08-03,True,excited,58
1,hot girl bummer,7aiClxsDWFRQ0Kzk5KI5ku,1,95,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2cFrymmkijnjDg9SS92EPM'}, 'href': 'https://api.spotify.com/v1/artists/2cFrymmkijnjDg9SS92EPM', 'id': '2cFrymmkijnjDg9SS92EPM', 'name': 'blackbear', 'type': 'artist', 'uri': 'spotify:artist:2cFrymmkijnjDg9SS92EPM'}]",37CqAwxTungNxKpIK5vSgE,2019-08-23,True,excited,54
2,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,1,94,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY'}, 'href': 'https://api.spotify.com/v1/artists/0Y5tJX1MQlPlqiwlOH1tJY', 'id': '0Y5tJX1MQlPlqiwlOH1tJY', 'name': 'Travis Scott', 'type': 'artist', 'uri': 'spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY'}]",2uDTi1PlpSpvAv7IRAoAEU,2019-10-04,True,excited,51
3,bad guy,2Fxmhks0bxGSBdJ92vM42m,2,95,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH'}, 'href': 'https://api.spotify.com/v1/artists/6qqNVTkY8uBg9cP3Jd7DAH', 'id': '6qqNVTkY8uBg9cP3Jd7DAH', 'name': 'Billie Eilish', 'type': 'artist', 'uri': 'spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH'}]",0S0KGZnfBGSIssfF54WSJh,2019-03-29,False,excited,49
4,Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,2,88,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4'}, 'href': 'https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4', 'id': '3TVXtAsR1Inumwj472S9r4', 'name': 'Drake', 'type': 'artist', 'uri': 'spotify:artist:3TVXtAsR1Inumwj472S9r4'}]",00HZxSA1sOS9T3nA950sg4,2019-06-15,True,excited,49
5,goosebumps,6gBFPUFcJLzWGx4lenP6h2,9,86,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY'}, 'href': 'https://api.spotify.com/v1/artists/0Y5tJX1MQlPlqiwlOH1tJY', 'id': '0Y5tJX1MQlPlqiwlOH1tJY', 'name': 'Travis Scott', 'type': 'artist', 'uri': 'spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY'}]",42WVQWuf1teDysXiOupIZt,2016-09-16,True,excited,48
6,Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,1,93,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz'}, 'href': 'https://api.spotify.com/v1/artists/4MCBfE4596Uoi2O4DtmEMz', 'id': '4MCBfE4596Uoi2O4DtmEMz', 'name': 'Juice WRLD', 'type': 'artist', 'uri': 'spotify:artist:4MCBfE4596Uoi2O4DtmEMz'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/7wlFDEWiM5OoIAt8RSli8b'}, 'href': 'https://api.spotify.com/v1/artists/7wlFDEWiM5OoIAt8RSli8b', 'id': '7wlFDEWiM5OoIAt8RSli8b', 'name': 'YoungBoy Never Broke Again', 'type': 'artist', 'uri': 'spotify:artist:7wlFDEWiM5OoIAt8RSli8b'}]",3t6Z2qoBVCS4NHNI25XECH,2019-10-04,True,excited,48
7,The Box,0nbXyq5TXYPCO7pr3N8S4I,2,95,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/757aE44tKEUQEqRuT6GnEB'}, 'href': 'https://api.spotify.com/v1/artists/757aE44tKEUQEqRuT6GnEB', 'id': '757aE44tKEUQEqRuT6GnEB', 'name': 'Roddy Ricch', 'type': 'artist', 'uri': 'spotify:artist:757aE44tKEUQEqRuT6GnEB'}]",52u4anZbHd6UInnmHRFzba,2019-12-06,True,excited,44
8,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,9,85,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/20sxb77xiYeusSH8cVdatc'}, 'href': 'https://api.spotify.com/v1/artists/20sxb77xiYeusSH8cVdatc', 'id': '20sxb77xiYeusSH8cVdatc', 'name': 'Meek Mill', 'type': 'artist', 'uri': 'spotify:artist:20sxb77xiYeusSH8cVdatc'}]",6UYZEYjpN1DYRW0kqFy9ZE,2018-11-30,True,excited,41
9,ROXANNE,696DnlkuDOXcMAnKlTgXXK,1,99,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0vRvGUQVUjytro0xpb26bs'}, 'href': 'https://api.spotify.com/v1/artists/0vRvGUQVUjytro0xpb26bs', 'id': '0vRvGUQVUjytro0xpb26bs', 'name': 'Arizona Zervas', 'type': 'artist', 'uri': 'spotify:artist:0vRvGUQVUjytro0xpb26bs'}]",6HJDrXs0hpebaRFKA1sF90,2019-10-10,True,excited,39
